timestamp,epoch,price
2026-04-03T15:49:56+00:00,950,1.015550754
2026-04-03T21:45:30+00:00,951,1.015788148
2026-04-05T20:47:26+00:00,952,1.016079977
2026-04-07T19:44:01+00:00,953,1.016372147
2026-04-09T19:43:38+00:00,954,1.016663421
2026-04-11T19:00:57+00:00,955,1.016953259
2026-04-13T18:42:35+00:00,956,1.017243306
2026-04-15T17:47:22+00:00,957,1.017532557
2026-04-17T18:08:45+00:00,958,1.017819143
2026-04-19T16:22:10+00:00,959,1.01810879
2026-04-21T16:34:45+00:00,960,1.018400148
2026-04-30T20:16:11+00:00,964,1.019553246
2026-05-01T14:06:08+00:00,965,1.019843501
2026-05-03T13:42:44+00:00,966,1.020131261
2026-05-05T12:56:21+00:00,967,1.020420735
2026-05-07T12:01:37+00:00,968,1.020709753
2026-05-09T13:45:54+00:00,969,1.020990073
2026-05-11T14:07:59+00:00,970,1.021277817
2026-05-13T15:35:51+00:00,971,1.021565317
2026-05-15T14:28:56+00:00,972,1.021852788
2026-05-17T12:39:36+00:00,973,1.022139896
2026-05-19T14:16:23+00:00,974,1.022425007
2026-05-21T14:24:17+00:00,975,1.022710422
2026-05-23T12:43:53+00:00,976,1.022997781
2026-05-25T12:39:26+00:00,977,1.023280176
