timestamp,epoch,price
2026-05-29T11:56:14+00:00,979,1.001761188
2026-05-31T11:20:13+00:00,980,1.002060274
2026-06-02T11:23:47+00:00,981,1.002360004
2026-06-04T12:10:44+00:00,982,1.002363632
2026-06-06T10:27:35+00:00,983,1.002646836
2026-06-08T12:05:11+00:00,984,1.002925956
2026-06-10T12:33:23+00:00,985,1.003225639
2026-06-12T10:44:15+00:00,986,1.003498033
2026-06-14T14:36:00+00:00,987,1.003798727
2026-06-16T10:22:03+00:00,988,1.004058664
2026-06-18T09:22:26+00:00,989,1.004356986
2026-06-20T09:52:47+00:00,990,1.004658414
2026-06-22T11:09:14+00:00,991,1.004956631
2026-07-01T01:56:15+00:00,995,1.006157454
